"timeMillisSpent","score"
46,"-10hard/22919soft"
69,"-10hard/24816soft"
89,"-8hard/23107soft"
131,"-7hard/22374soft"
156,"-6hard/20574soft"
175,"-5hard/19692soft"
207,"-3hard/20391soft"
222,"-3hard/21792soft"
253,"-3hard/21916soft"
278,"-3hard/22066soft"
295,"-2hard/22047soft"
338,"-1hard/20819soft"
711,"-1hard/20991soft"
728,"-1hard/21418soft"
1248,"-1hard/21745soft"
1257,"-1hard/21796soft"
1273,"-1hard/22759soft"
1668,"-1hard/22981soft"
1673,"-1hard/23112soft"
1695,"0hard/20519soft"
1787,"0hard/21104soft"
10941,"0hard/21595soft"
241950,"0hard/21624soft"
249873,"0hard/22026soft"
