"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
20,4,4
34,4,5
49,4,5
63,4,6
76,4,5
93,4,6
109,4,5
123,4,6
136,4,6
151,4,5
162,4,4
174,4,5
186,4,6
197,4,5
213,4,6
228,4,7
245,4,8
258,4,6
275,4,8
287,4,5
307,4,9
316,4,4
328,4,6
339,4,5
353,4,7
372,4,10
394,4,10
410,4,7
425,4,7
444,4,9
461,4,8
483,4,10
496,4,6
523,4,9
541,4,9
559,4,8
580,4,9
604,4,10
624,4,10
641,4,9
658,4,9
673,4,9
688,4,9
704,4,10
720,4,10
735,4,10
752,4,10
765,4,8
779,4,9
794,4,9
810,4,10
818,4,5
827,4,6
838,4,6
851,4,8
863,4,8
887,4,11
906,4,10
921,4,9
931,4,6
942,4,6
954,4,7
967,4,8
982,4,9
997,4,9
1008,4,7
1024,4,10
1032,4,5
1042,4,6
1056,4,8
1069,4,8
1082,4,8
1101,4,11
1117,4,10
1133,4,9
1143,4,6
1154,4,6
1166,4,7
1180,4,8
1194,4,9
1210,4,9
1221,4,7
1236,4,10
1244,4,5
1253,4,6
1271,4,8
1288,4,8
1301,4,8
1319,4,11
1336,4,10
1351,4,9
1361,4,6
1371,4,6
1382,4,7
1396,4,8
1411,4,9
1425,4,9
1436,4,7
1451,4,10
1460,4,5
1469,4,6
1482,4,8
1495,4,8
1507,4,8
1526,4,11
1542,4,10
1556,4,9
1566,4,6
1576,4,6
1589,4,7
1601,4,8
1616,4,9
1630,4,9
1641,4,7
1657,4,10
1665,4,5
1675,4,6
1693,4,8
1706,4,8
1719,4,8
1737,4,11
1753,4,10
1767,4,9
1777,4,6
1788,4,6
1800,4,7
1813,4,8
1827,4,9
1841,4,9
1853,4,7
1868,4,10
1876,4,5
1885,4,6
1898,4,8
1912,4,8
1925,4,8
1943,4,11
1959,4,10
1974,4,9
1984,4,6
1994,4,6
2006,4,7
2019,4,8
2033,4,9
2049,4,9
2060,4,7
2076,4,10
2084,4,5
2094,4,6
2107,4,8
2120,4,8
2133,4,8
2151,4,11
2167,4,10
2185,4,9
2197,4,6
2209,4,6
2223,4,7
2238,4,8
2256,4,9
2273,4,9
2286,4,7
2304,4,10
2314,4,5
2326,4,6
2341,4,8
2356,4,8
2371,4,8
2392,4,11
2410,4,10
2424,4,9
2434,4,6
2444,4,6
2456,4,7
2470,4,8
2484,4,9
2499,4,9
2510,4,7
2525,4,10
2533,4,5
2543,4,6
2556,4,8
2568,4,8
2581,4,8
2600,4,11
2616,4,10
2630,4,9
2640,4,6
2651,4,6
2663,4,7
2676,4,8
2691,4,9
2705,4,9
2716,4,7
2733,4,10
2741,4,5
2751,4,6
2763,4,8
2776,4,8
2790,4,8
2807,4,11
2824,4,10
2838,4,9
2849,4,6
2859,4,6
2871,4,7
2883,4,8
2898,4,9
2912,4,9
2924,4,7
2939,4,10
2947,4,5
2956,4,6
2969,4,8
2983,4,8
2995,4,8
3013,4,11
3029,4,10
3046,4,9
3056,4,6
3066,4,6
3078,4,7
3091,4,8
3106,4,9
3121,4,9
3131,4,7
3146,4,10
3154,4,5
3164,4,6
3178,4,8
3190,4,8
3203,4,8
3220,4,11
3237,4,10
3252,4,9
3262,4,6
3272,4,6
3283,4,7
3298,4,8
3312,4,9
3326,4,9
3337,4,7
3352,4,10
3362,4,5
3371,4,6
3384,4,8
3397,4,8
3409,4,8
3428,4,11
