"timeMillisSpent","score"
20,"-7hard/48947soft"
34,"-7hard/47006soft"
49,"-6hard/44447soft"
63,"-6hard/52071soft"
76,"-6hard/55696soft"
93,"-6hard/53305soft"
109,"-6hard/52744soft"
123,"-6hard/47958soft"
136,"-6hard/43670soft"
151,"-6hard/48846soft"
162,"-5hard/37955soft"
174,"-5hard/41294soft"
186,"-5hard/41808soft"
197,"-5hard/45201soft"
213,"-5hard/47042soft"
228,"-5hard/49197soft"
245,"-5hard/49374soft"
258,"-5hard/51548soft"
275,"-5hard/49100soft"
287,"-5hard/45369soft"
307,"-5hard/48299soft"
316,"-5hard/52030soft"
328,"-5hard/51360soft"
339,"-5hard/48428soft"
353,"-5hard/46262soft"
372,"-5hard/41037soft"
394,"-5hard/51579soft"
410,"-5hard/54783soft"
425,"-5hard/54962soft"
444,"-5hard/57337soft"
461,"-5hard/53715soft"
483,"-5hard/47104soft"
496,"-5hard/52145soft"
523,"-5hard/49066soft"
541,"-5hard/48443soft"
559,"-5hard/46276soft"
580,"-5hard/49823soft"
604,"-5hard/38879soft"
624,"-5hard/42218soft"
641,"-5hard/45622soft"
658,"-5hard/49015soft"
673,"-5hard/50780soft"
688,"-5hard/50959soft"
704,"-5hard/47412soft"
720,"-5hard/44405soft"
735,"-5hard/41589soft"
752,"-4hard/36549soft"
765,"-4hard/34583soft"
779,"-4hard/34230soft"
794,"-4hard/34011soft"
810,"-4hard/30838soft"
818,"-4hard/34306soft"
827,"-5hard/45025soft"
838,"-5hard/48560soft"
851,"-5hard/52079soft"
863,"-5hard/53923soft"
887,"-5hard/54025soft"
906,"-5hard/53841soft"
921,"-5hard/57192soft"
931,"-5hard/54165soft"
942,"-5hard/51230soft"
954,"-5hard/47608soft"
967,"-4hard/36549soft"
982,"-4hard/36196soft"
997,"-4hard/34301soft"
1008,"-4hard/34011soft"
1024,"-4hard/30838soft"
1032,"-4hard/34306soft"
1042,"-5hard/45025soft"
1056,"-5hard/48560soft"
1069,"-5hard/52079soft"
1082,"-5hard/53923soft"
1101,"-5hard/54025soft"
1117,"-5hard/53841soft"
1133,"-5hard/57192soft"
1143,"-5hard/54165soft"
1154,"-5hard/51230soft"
1166,"-5hard/47608soft"
1180,"-4hard/36549soft"
1194,"-4hard/36196soft"
1210,"-4hard/34301soft"
1221,"-4hard/34011soft"
1236,"-4hard/30838soft"
1244,"-4hard/34306soft"
1253,"-5hard/45025soft"
1271,"-5hard/48560soft"
1288,"-5hard/52079soft"
1301,"-5hard/53923soft"
1319,"-5hard/54025soft"
1336,"-5hard/53841soft"
1351,"-5hard/57192soft"
1361,"-5hard/54165soft"
1371,"-5hard/51230soft"
1382,"-5hard/47608soft"
1396,"-4hard/36549soft"
1411,"-4hard/36196soft"
