"timeMillisSpent","score"
58,"0hard/-1704soft"
91,"0hard/224soft"
112,"0hard/1960soft"
142,"0hard/3981soft"
166,"0hard/6395soft"
204,"0hard/8148soft"
239,"0hard/10557soft"
280,"0hard/11700soft"
373,"0hard/12433soft"
381,"0hard/12772soft"
402,"0hard/12892soft"
489,"0hard/13679soft"
502,"0hard/14015soft"
523,"0hard/14139soft"
542,"0hard/15149soft"
595,"0hard/16824soft"
643,"0hard/17302soft"
693,"0hard/18210soft"
790,"0hard/19336soft"
825,"0hard/19582soft"
878,"0hard/19657soft"
928,"0hard/19674soft"
938,"0hard/19962soft"
945,"0hard/20058soft"
