"timeMillisSpent","score"
11,"-7hard/48947soft"
18,"-7hard/47006soft"
24,"-6hard/44447soft"
30,"-6hard/52071soft"
38,"-6hard/55696soft"
47,"-7hard/58931soft"
58,"-7hard/61562soft"
71,"-9hard/69317soft"
84,"-9hard/68373soft"
102,"-7hard/61757soft"
113,"-6hard/58304soft"
127,"-6hard/61455soft"
139,"-6hard/62125soft"
157,"-5hard/48749soft"
166,"-5hard/51562soft"
185,"-7hard/62085soft"
207,"-6hard/61160soft"
232,"-5hard/55835soft"
259,"-5hard/56924soft"
267,"-6hard/64140soft"
284,"-6hard/59043soft"
309,"-6hard/55496soft"
357,"-6hard/49762soft"
395,"-6hard/53583soft"
458,"-5hard/53911soft"
482,"-4hard/41284soft"
489,"-4hard/44810soft"
511,"-5hard/48029soft"
547,"-5hard/54862soft"
563,"-5hard/54685soft"
581,"-6hard/60079soft"
593,"-5hard/57529soft"
615,"-5hard/46328soft"
639,"-5hard/50998soft"
657,"-6hard/61704soft"
675,"-6hard/58240soft"
761,"-8hard/57705soft"
843,"-8hard/57788soft"
30000,"-6hard/58046soft"
