"timeMillisSpent","scoreCalculationSpeed"
1035,256
2018,505
3021,603
4005,591
5026,623
6023,615
7014,614
8023,622
9004,605
10003,616
11000,619
12017,626
13023,626
14009,625
15002,629
16025,624
17008,632
18007,633
19004,629
20005,626
21025,611
22009,623
23000,616
24022,594
25007,617
26002,616
27017,610
28035,623
29005,618
30036,622
31032,620
32030,618
33030,609
34019,621
35024,618
36024,607
37026,623
38001,622
39022,623
40010,619
41011,621
42011,616
43031,617
44024,619
45021,622
46003,614
47011,597
48026,621
49024,622
50002,598
51016,623
52029,621
53007,619
54018,605
55015,614
56025,625
57001,616
58021,618
59023,621
60008,625
61035,579
62005,594
63014,623
64016,627
65011,633
66027,642
67007,615
68023,636
69006,627
70022,644
71002,640
72014,633
73013,613
74022,642
75005,650
76031,646
77004,620
78004,625
79019,602
80008,604
81012,644
82018,635
83010,623
84016,646
85004,632
86005,605
87010,628
88027,648
89019,630
90017,645
91009,632
92027,647
93020,643
94002,634
95008,646
96012,646
97024,631
98001,628
99028,606
100002,590
101016,622
102001,618
103000,626
104012,620
105025,638
106040,630
107005,637
108026,602
109003,644
110017,630
111025,620
112012,607
113011,604
114027,632
115004,641
116020,642
117013,634
118008,645
119021,645
120015,646
121027,643
122004,644
123030,624
124011,619
125023,644
126011,645
127010,635
128029,649
129003,645
130013,636
131019,646
132017,646
133022,633
134023,629
135019,622
136019,632
137017,638
138005,644
139003,642
140022,620
141021,611
142011,624
143018,597
144003,615
145030,626
146022,632
147020,641
148030,634
149000,642
150007,642
151012,644
152004,627
153002,652
154019,655
155020,655
156018,638
157013,629
158026,620
159013,632
160024,623
161023,629
162015,627
163008,627
164019,639
165012,624
166016,646
167005,630
168011,612
169010,627
170004,616
171000,623
172014,634
173006,637
174012,638
175027,625
176024,601
177019,639
178007,634
179026,647
180024,644
181005,623
182003,646
183013,635
184014,650
185022,648
186021,639
187003,635
188017,636
189018,634
190014,638
191034,642
192016,615
193023,634
194040,642
195024,645
196038,636
197005,645
198025,636
199011,621
200010,641
201022,645
202004,646
203021,641
204027,621
205014,645
206000,650
207014,636
208002,617
209024,625
210030,617
211003,630
212022,608
213010,579
214026,601
215022,623
216027,622
217027,624
218023,610
219021,613
220027,596
221035,611
222018,601
223027,610
224020,574
225013,609
226024,610
227009,611
228005,618
229022,575
230019,614
231008,625
232016,624
233016,612
234010,612
235028,614
236028,611
237005,622
238027,629
239023,631
240021,632
241025,634
242021,634
243012,627
244005,633
245002,616
246008,622
247004,635
248035,632
249020,624
250003,633
251009,620
252020,613
253004,630
254025,630
255025,634
256002,636
257026,633
258022,620
259002,623
260009,640
261027,650
262005,645
263032,648
264015,650
265014,646
266028,648
267020,648
268006,630
269024,622
270021,627
271018,628
272023,639
273016,647
274015,649
275028,638
276001,637
277006,621
278010,603
279015,621
280000,637
281009,619
282011,626
283021,597
284000,602
285021,622
286001,642
287029,608
288028,623
289018,606
290007,623
291003,605
292028,611
293003,616
294029,604
295013,616
296004,610
297005,609
298027,609
299028,617
300000,617
