"timeMillisSpent","score"
168,"0hard/-1226soft"
268,"0hard/937soft"
343,"0hard/3124soft"
410,"0hard/4840soft"
473,"0hard/6364soft"
540,"0hard/8135soft"
586,"0hard/10192soft"
636,"0hard/11070soft"
682,"0hard/9786soft"
720,"0hard/8135soft"
765,"0hard/10192soft"
806,"0hard/11070soft"
849,"0hard/9786soft"
899,"0hard/8135soft"
949,"0hard/10192soft"
987,"0hard/11070soft"
1029,"0hard/9786soft"
1066,"0hard/8135soft"
1103,"0hard/6364soft"
1163,"0hard/7836soft"
1203,"0hard/10192soft"
1249,"0hard/8135soft"
1296,"0hard/9786soft"
1328,"0hard/11070soft"
1367,"0hard/10192soft"
1409,"0hard/8135soft"
1453,"0hard/9786soft"
1489,"0hard/7674soft"
1534,"0hard/6364soft"
1569,"0hard/8135soft"
1610,"0hard/10192soft"
1642,"0hard/11070soft"
1680,"0hard/9786soft"
1724,"0hard/8135soft"
1761,"0hard/6364soft"
1795,"0hard/7836soft"
1834,"0hard/10192soft"
1873,"0hard/11070soft"
1912,"0hard/9786soft"
1946,"0hard/8135soft"
1980,"0hard/10192soft"
2018,"0hard/11070soft"
2050,"0hard/9786soft"
2083,"0hard/8135soft"
2116,"0hard/10192soft"
2148,"0hard/11070soft"
2179,"0hard/9786soft"
2213,"0hard/8135soft"
2250,"0hard/10192soft"
2282,"0hard/11070soft"
2320,"0hard/9786soft"
2359,"0hard/8135soft"
2392,"0hard/10192soft"
2425,"0hard/11070soft"
2455,"0hard/9786soft"
2487,"0hard/8135soft"
2523,"0hard/10192soft"
2556,"0hard/11070soft"
2586,"0hard/9786soft"
2613,"0hard/8135soft"
2646,"0hard/10192soft"
2676,"0hard/11070soft"
2712,"0hard/9786soft"
2743,"0hard/8135soft"
2775,"0hard/10192soft"
2807,"0hard/11070soft"
2844,"0hard/9786soft"
2879,"0hard/8135soft"
2928,"0hard/10192soft"
2988,"0hard/7950soft"
3033,"0hard/9210soft"
3079,"0hard/11070soft"
3122,"0hard/10192soft"
3154,"0hard/8135soft"
3186,"0hard/9786soft"
3224,"0hard/11070soft"
3259,"0hard/10192soft"
3301,"0hard/8135soft"
3338,"0hard/9786soft"
3372,"0hard/11070soft"
3408,"0hard/10192soft"
3445,"0hard/8031soft"
3476,"0hard/9072soft"
3511,"0hard/7645soft"
3541,"0hard/8774soft"
3576,"0hard/10298soft"
3611,"0hard/9072soft"
3648,"0hard/8031soft"
3681,"0hard/9168soft"
3712,"0hard/10238soft"
3741,"0hard/8976soft"
3773,"0hard/10106soft"
3801,"0hard/8121soft"
3832,"0hard/9867soft"
3869,"0hard/7901soft"
3899,"0hard/9180soft"
3928,"0hard/8228soft"
3961,"0hard/7229soft"
3993,"0hard/8285soft"
4027,"0hard/9171soft"
4070,"0hard/7927soft"
4106,"0hard/10238soft"
4137,"0hard/9168soft"
4168,"0hard/8031soft"
4201,"0hard/9072soft"
4236,"0hard/10298soft"
4272,"0hard/8822soft"
4303,"0hard/11070soft"
4334,"0hard/10192soft"
4369,"0hard/8135soft"
4405,"0hard/9786soft"
4437,"0hard/11070soft"
4467,"0hard/9557soft"
4499,"0hard/7674soft"
4535,"0hard/9786soft"
4566,"0hard/8135soft"
4599,"0hard/6364soft"
4632,"0hard/7836soft"
4665,"0hard/10192soft"
4698,"0hard/11070soft"
4730,"0hard/9786soft"
4768,"0hard/8135soft"
4804,"0hard/10192soft"
4850,"0hard/11070soft"
4885,"0hard/9786soft"
4914,"0hard/8135soft"
4947,"0hard/10192soft"
4979,"0hard/11070soft"
5011,"0hard/9786soft"
5042,"0hard/8135soft"
5075,"0hard/10192soft"
5106,"0hard/11070soft"
5140,"0hard/9786soft"
5178,"0hard/8135soft"
5211,"0hard/10192soft"
5241,"0hard/11070soft"
5275,"0hard/9786soft"
5305,"0hard/8135soft"
5335,"0hard/10192soft"
5367,"0hard/11070soft"
5400,"0hard/9786soft"
5428,"0hard/8135soft"
5461,"0hard/10192soft"
5490,"0hard/11070soft"
5523,"0hard/9786soft"
5552,"0hard/8135soft"
5586,"0hard/10192soft"
5621,"0hard/11070soft"
5652,"0hard/9786soft"
5686,"0hard/8135soft"
5718,"0hard/10192soft"
5753,"0hard/11070soft"
5783,"0hard/9786soft"
5816,"0hard/8135soft"
5854,"0hard/10192soft"
5885,"0hard/11070soft"
5916,"0hard/9786soft"
5951,"0hard/8135soft"
5982,"0hard/10192soft"
6011,"0hard/11070soft"
6043,"0hard/9786soft"
6074,"0hard/8135soft"
6106,"0hard/10192soft"
6140,"0hard/11070soft"
6188,"0hard/9786soft"
6220,"0hard/8135soft"
6252,"0hard/10192soft"
6280,"0hard/11070soft"
6308,"0hard/9786soft"
6340,"0hard/8135soft"
6374,"0hard/10192soft"
6407,"0hard/11070soft"
6433,"0hard/9786soft"
6468,"0hard/7674soft"
6501,"0hard/9557soft"
6535,"0hard/7836soft"
6567,"0hard/10192soft"
6595,"0hard/11070soft"
6631,"0hard/9786soft"
6661,"0hard/7674soft"
6696,"0hard/9557soft"
6730,"0hard/11070soft"
6761,"0hard/10192soft"
6798,"0hard/8135soft"
6828,"0hard/9786soft"
6863,"0hard/11070soft"
6896,"0hard/10192soft"
6928,"0hard/8135soft"
