"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
101,4,4
144,4,4
178,4,4
214,4,4
256,4,5
292,4,5
326,4,5
363,4,7
400,4,7
442,4,8
467,4,5
490,4,5
514,4,5
536,4,5
568,4,6
586,4,4
613,4,6
638,4,6
669,4,8
702,4,7
721,4,5
740,4,5
763,4,6
782,4,5
806,4,6
834,4,4
860,4,4
900,4,9
920,4,5
952,4,8
977,4,6
996,4,4
1024,4,7
1047,4,6
1062,4,4
1078,4,4
1098,4,5
1129,4,7
1162,4,8
1183,4,5
1222,4,10
1250,4,7
1274,4,6
1290,4,4
1315,4,6
1334,4,5
1357,4,6
1375,4,5
1400,4,7
1421,4,6
1440,4,5
1461,4,6
1476,4,4
1499,4,6
1525,4,7
1567,4,10
1589,4,6
1608,4,5
1625,4,5
1642,4,5
1662,4,6
1688,4,8
1705,4,5
1730,4,8
1748,4,5
1764,4,5
1785,4,6
1806,4,6
1825,4,6
1846,4,6
1863,4,5
1886,4,5
1914,4,7
1931,4,5
1946,4,4
1962,4,5
1988,4,8
2002,4,4
2024,4,7
2054,4,10
2071,4,5
2090,4,6
2108,4,6
2133,4,8
2150,4,5
2181,4,11
2194,4,4
2210,4,5
2225,4,5
2246,4,7
2272,4,8
2286,4,4
2313,4,8
2337,4,7
2363,4,8
2376,4,4
2395,4,6
2408,4,4
2425,4,5
2438,4,4
2458,4,7
2475,4,4
2492,4,5
2508,4,5
2531,4,7
2553,4,7
2579,4,8
2593,4,4
2608,4,5
2623,4,5
2647,4,8
2676,4,10
2700,4,6
2713,4,4
2730,4,5
2744,4,4
2768,4,7
2786,4,5
2803,4,5
2836,4,11
2861,4,8
2890,4,9
2905,4,5
2933,4,9
2950,4,5
2968,4,6
2984,4,5
2997,4,4
3012,4,4
3037,4,8
3055,4,5
3074,4,6
3097,4,7
3131,4,11
3146,4,5
3162,4,5
3191,4,10
3206,4,5
3221,4,5
3239,4,6
3257,4,6
3278,4,7
3292,4,4
3305,4,4
3319,4,4
3338,4,6
3352,4,4
3376,4,7
3398,4,7
3417,4,6
3433,4,5
3452,4,6
3471,4,6
3487,4,5
3505,4,6
3519,4,4
3546,4,9
3571,4,8
3586,4,5
3602,4,5
3621,4,6
3634,4,4
3654,4,7
3676,4,7
3700,4,8
3720,4,7
3733,4,4
3746,4,4
3761,4,5
3786,4,8
3808,4,7
3835,4,8
3855,4,6
3868,4,4
3891,4,7
3903,4,4
3925,4,7
3952,4,9
3968,4,5
3984,4,5
4007,4,7
4023,4,5
4050,4,8
4073,4,7
4086,4,4
4103,4,5
4122,4,6
4147,4,8
4160,4,4
4175,4,5
4192,4,5
4212,4,7
4240,4,10
4264,4,8
4288,4,8
4303,4,4
4328,4,8
4353,4,7
4368,4,4
4385,4,5
4402,4,5
4426,4,8
