"timeMillisSpent","score"
14,"-10hard/22919soft"
23,"-10hard/24816soft"
29,"-8hard/23107soft"
45,"-7hard/22374soft"
54,"-6hard/20574soft"
61,"-5hard/19692soft"
73,"-3hard/20391soft"
80,"-3hard/21792soft"
90,"-3hard/21916soft"
102,"-3hard/22066soft"
111,"-2hard/22047soft"
139,"-1hard/20819soft"
419,"-1hard/20991soft"
430,"-1hard/21418soft"
910,"-1hard/21745soft"
920,"-1hard/21796soft"
939,"-1hard/22759soft"
987,"-1hard/23370soft"
2255,"0hard/19664soft"
2435,"0hard/20212soft"
2440,"0hard/20812soft"
9398,"0hard/21014soft"
9519,"0hard/21205soft"
15348,"0hard/21740soft"
56890,"0hard/21760soft"
258833,"0hard/21782soft"
277697,"0hard/21811soft"
